lv5id, lv5name, line#, area, ssid, itemname, type
MADG00C002-01,企業一覧マスタ一覧,50,Body(Helper),SIQYX7w0,企業一覧コード,TEXTBOX
MADG00C002-01,企業一覧マスタ一覧,51,,SIucIU2e,顧客本社名(英),TEXTBOX
MADG00C002-01,企業一覧マスタ一覧,52,,SIKZ7gkq,顧客企業グループコード,TEXTBOX
MADG00C002-01,企業一覧マスタ一覧,53,,SIdNEYGh,F3.戻る,BUTTON
MADG00C004-01,顧客マスタ一覧,72,Body(Helper),SIsujkWx,顧客コード,TEXTBOX
MADG00C004-01,顧客マスタ一覧,73,,SI3KZZHU,顧客名(英)1,TEXTBOX
MADG00C004-01,顧客マスタ一覧,74,,SI1oSZAl,カンパニーコード,TEXTBOX
MADG00C004-01,顧客マスタ一覧,75,,SIR0m0v8,支店コード,TEXTBOX
MADG00C004-01,顧客マスタ一覧,76,,SILPNn39,支店名(英),TEXTBOX
MADG00C004-01,顧客マスタ一覧,77,,SIFBJGN1,課所コード,TEXTBOX
MADG00C004-01,顧客マスタ一覧,78,,SIUtlNip,課所名(英),TEXTBOX
MADG00C004-01,顧客マスタ一覧,79,,SIs6edIu,請求可否区分,TEXTBOX
MADG00C004-01,顧客マスタ一覧,80,,SIcWklaD,荷受人使用,CHECKBOX
MADG00C004-01,顧客マスタ一覧,81,,SIKHfPKN,顧客区分,TEXTBOX
MADG00C004-01,顧客マスタ一覧,82,,SIdNEYGh,F3.戻る,BUTTON
MADG00C004-01,顧客マスタ一覧,83,Hidden,SI1oSZAl,カンパニーコード,TEXTBOX
MADG00C005-01,支払業者マスタ一覧,67,Body(Helper),SIR0m0v8,支店コード,TEXTBOX
MADG00C005-01,支払業者マスタ一覧,68,,SIFBJGN1,課所コード,TEXTBOX
MADG00C005-01,支払業者マスタ一覧,69,,SImL5BbY,支払業者コード,TEXTBOX
MADG00C005-01,支払業者マスタ一覧,70,,SIMBRjuW,支払業者名,TEXTBOX
MADG00C005-01,支払業者マスタ一覧,71,,SInLf9Zg,会社区分,TEXTBOX
MADG00C005-01,支払業者マスタ一覧,72,,SIdNEYGh,F3.戻る,BUTTON
MADG00C006-01,キャリアマスタ一覧,51,Body(Helper),SIkjCEXw,キャリアNo.,TEXTBOX
MADG00C006-01,キャリアマスタ一覧,52,,SIyM51Fz,キャリア名,TEXTBOX
MADG00C006-01,キャリアマスタ一覧,53,,SIkI8cpG,キャリアコード,TEXTBOX
MADG00C006-01,キャリアマスタ一覧,54,,SIuHZDpz,キャリアタイプ,TEXTBOX
MADG00C006-01,キャリアマスタ一覧,55,,SIcxipFM,国コード(ISO2),TEXTBOX
MADG00C006-01,キャリアマスタ一覧,56,,SIdNEYGh,F3.戻る,BUTTON
MADG00C008-01,海外代理店マスタ一覧,51,Body(Helper),SIHpm8in,海外代理店コード,TEXTBOX
MADG00C008-01,海外代理店マスタ一覧,52,,SIVEinY1,海外代理店名(英),TEXTBOX
MADG00C008-01,海外代理店マスタ一覧,53,,SIKXBKvk,日通関連会社区分,TEXTBOX
MADG00C008-01,海外代理店マスタ一覧,54,,SIHSdk5j,海外代理店都市コード,TEXTBOX
MADG00C008-01,海外代理店マスタ一覧,55,,SIA1dLJp,海外代理店No.,TEXTBOX
MADG00C008-01,海外代理店マスタ一覧,56,,SIdNEYGh,F3.戻る,BUTTON
MADG00C011-01,集配先マスタ一覧,60,Body(Helper),SIr0OsQ4,集配先コード,TEXTBOX
MADG00C011-01,集配先マスタ一覧,61,,SIhdeB8Y,集配先名,TEXTBOX
MADG00C011-01,集配先マスタ一覧,62,,SIJNPbRZ,集配先住所1,TEXTBOX
MADG00C011-01,集配先マスタ一覧,63,,SIAf0T1T,集配先住所2,TEXTBOX
MADG00C011-01,集配先マスタ一覧,64,,SIoGJ4A8,集配課所コード,TEXTBOX
MADG00C011-01,集配先マスタ一覧,65,,SIOKMTeS,集配課所名,TEXTBOX
MADG00C011-01,集配先マスタ一覧,66,,SIdNEYGh,F3.戻る,BUTTON
MADG00C013-01,統計用エリアマスタ一覧,40,Body(Helper),SIhTg5bK,統計用エリア種別コード,TEXTBOX
MADG00C013-01,統計用エリアマスタ一覧,41,,SI0HSW0P ,統計用エリア区分,TEXTBOX
MADG00C013-01,統計用エリアマスタ一覧,42,,SIRZB7VK,統計用エリアコード,TEXTBOX
MADG00C013-01,統計用エリアマスタ一覧,43,,SIOeQ2Gz,統計用エリア名(英),TEXTBOX
MADG00C013-01,統計用エリアマスタ一覧,44,,SIdNEYGh,F3.戻る,BUTTON
MADG00C015-01,都市・空港(IATA)マスタ一覧,57,Body(Helper),SIIwNdnf,IATA都市空港コード,TEXTBOX
MADG00C015-01,都市・空港(IATA)マスタ一覧,58,,SIaBk97h,IATA都市空港名(英),TEXTBOX
MADG00C015-01,都市・空港(IATA)マスタ一覧,59,,SIu8i5Hv,都市空港区分,PULLDOWN
MADG00C015-01,都市・空港(IATA)マスタ一覧,60,,SIcxipFM,国コード(ISO2),TEXTBOX
MADG00C015-01,都市・空港(IATA)マスタ一覧,61,,SIdNEYGh,F3.戻る,BUTTON
MADG00C016-01,都市・空港(LOCODE)マスタ一覧,55,Body(Helper),SIgT8DuS,LOCODE国コード,TEXTBOX
MADG00C016-01,都市・空港(LOCODE)マスタ一覧,56,,SI7Zr9Bp,LOCODE都市コード,TEXTBOX
MADG00C016-01,都市・空港(LOCODE)マスタ一覧,57,,SI3SfFa7,LOCODE都市名(英),TEXTBOX
MADG00C016-01,都市・空港(LOCODE)マスタ一覧,58,,SIIwNdnf,IATA都市空港コード,TEXTBOX
MADG00C016-01,都市・空港(LOCODE)マスタ一覧,59,,SIdNEYGh,F3.戻る,BUTTON
MADG00C016-01,都市・空港(LOCODE)マスタ一覧,60,Hidden,SIwuzTR5,世代ステータス区分,TEXTBOX
MADG00C018-01,集配便マスタ一覧,47,Body(Helper),SIEX4FhO,上屋コード,TEXTBOX
MADG00C018-01,集配便マスタ一覧,48,,SICGCOv9,集配便コード,TEXTBOX
MADG00C018-01,集配便マスタ一覧,49,,SIbvaGcr,集配便名,TEXTBOX
MADG00C018-01,集配便マスタ一覧,50,,SIWQsU1x,集配便区分,TEXTBOX
MADG00C018-01,集配便マスタ一覧,51,,SIYdne7s,集配区分,TEXTBOX
MADG00C018-01,集配便マスタ一覧,52,,SIdNEYGh,F3.戻る,BUTTON
MADG00C019-01,上屋マスタ一覧,54,Body(Helper),SIEX4FhO,上屋コード,TEXTBOX
MADG00C019-01,上屋マスタ一覧,55,,SI2DWvvY,上屋名,TEXTBOX
MADG00C019-01,上屋マスタ一覧,56,,SIVBcZZ0,手倉/保税区分,TEXTBOX
MADG00C019-01,上屋マスタ一覧,57,,SIh0WQPS,都市コード,TEXTBOX
MADG00C019-01,上屋マスタ一覧,58,,SI861MPQ,自社上屋区分,TEXTBOX
MADG00C019-01,上屋マスタ一覧,59,,SISNvz5G,上屋住所(英),TEXTBOX
MADG00C019-01,上屋マスタ一覧,60,,SIQ6lk8K,上屋コード枝番,TEXTBOX
MADG00C019-01,上屋マスタ一覧,61,,SIdNEYGh,F3.戻る,BUTTON
MADG00C025-01,課所マスタ一覧,69,Body(Helper),SIFBJGN1,課所コード,TEXTBOX
